관광상품번호(NameID),관리번호,인허가일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,도로명전체주소,소재지전체주소,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,주메뉴,좌표정보(위도),좌표정보(경도),위생업태명,다중이용업소여부,음식점 분류,카테고리
4001229,5360000-101-2010-00003,2010-01-12,1,영업/정상,13,영업중,경상남도 밀양시 북성로1길 15-18 (내이동),경상남도 밀양시 내이동 1203-11번지,산낙지마을,2017-05-15,I,2018-08-31,한식,산낙지연포탕+산낙지전골+홍어,35.49695569,128.7449494,한식,N,일반음식점,한식
4001230,5360000-101-2009-00084,2009-11-10,1,영업/정상,13,영업중,경상남도 밀양시 북성로3길 1 (내이동),경상남도 밀양시 내이동 1191-1,장터소국밥,2021-10-29,U,2021-10-31,한식,장터소국밥+왕족발+한우육사시미+잔치국수+냉국수,35.49829282,128.7449937,한식,N,일반음식점,한식
4001231,5360000-101-2013-00046,2013-06-17,1,영업/정상,13,영업중,경상남도 밀양시 단장면 고례로 823-4,경상남도 밀양시 단장면 고례리 1490-2번지,일번가,2018-02-19,I,2018-08-31,한식,아메리카노+팥빙수+미숫가루,35.49144493,128.9265768,한식,N,일반음식점,카페(디저트)
4001232,5360000-101-2013-00045,2013-06-14,1,영업/정상,13,영업중,경상남도 밀양시 시청서3길 1 (내이동),경상남도 밀양시 내이동 1524-27번지,쇼킹한꿀꿀이,2017-11-22,I,2018-08-31,한식,생삼겹+항정살+시레기등갈비정식,35.50213538,128.7420042,한식,N,일반음식점,고깃집(정육점)
4001233,5360000-101-2014-00071,2014-05-21,1,영업/정상,13,영업중,"경상남도 밀양시 삼랑진읍 행곡로 215, 2층",경상남도 밀양시 삼랑진읍 행곡리 1372-1 2층,카페풍경,2021-01-04,U,2021-01-06,한식,팥빙수+대추차,35.42283112,128.8824152,한식,N,일반음식점,카페(디저트)
4001234,5360000-101-2014-00033,2014-03-27,1,영업/정상,13,영업중,경상남도 밀양시 미리벌중앙로3길 6-8 (삼문동),경상남도 밀양시 삼문동 724-9번지,둘리뒷고기,2018-05-25,I,2018-08-31,한식,뒷고기+벌집껍데기+삼겹살,35.48324711,128.7485422,한식,N,일반음식점,고깃집(정육점)
4001235,5360000-101-2014-00029,2014-03-25,1,영업/정상,13,영업중,경상남도 밀양시 하남읍 수산중앙로 27-3,경상남도 밀양시 하남읍 수산리 814-90,수산밀면,2022-02-25,U,2022-02-27,한식,물밀면+비빔밀면+섞음밀면+물회가오리밀면+비빔가오리밀면,35.37504936,128.7082445,한식,N,일반음식점,한식
4001236,5360000-101-2015-00053,2015-05-18,1,영업/정상,13,영업중,경상남도 밀양시 미리벌중앙로3길 12-6 (삼문동),경상남도 밀양시 삼문동 725-8,정선생삼문점,2020-10-23,U,2020-10-25,한식,김치전+두부김치,35.48282585,128.748097,한식,N,일반음식점,술집
4001237,5360000-101-2015-00049,2015-05-07,1,영업/정상,13,영업중,"경상남도 밀양시 산외면 산외로 309-8, 1층",경상남도 밀양시 산외면 금천리 399,산그늘,2022-02-11,U,2022-02-13,한식,누룽지 능이 오리 백숙+황칠 능이 오리 백숙,35.50354037,128.8021997,한식,N,일반음식점,한식
4001238,5360000-101-2015-00052,2015-05-12,1,영업/정상,13,영업중,경상남도 밀양시 교동로 182 (교동),경상남도 밀양시 교동 1224-6번지,옥교산 삼겹살&감자탕,2018-05-25,I,2018-08-31,한식,차돌박이+생삼겹살+감자탕,35.5111576,128.7564152,한식,N,일반음식점,고깃집(정육점)
